day,susceptible,crowd,quitted,loyal
0.0000,298987.476869,1010.410209,2.060652,0.052269
0.0500,298974.823251,1020.928909,4.142756,0.105079
0.1000,298962.037796,1031.557220,6.246535,0.158435
0.1500,298949.119143,1042.296272,8.372216,0.212344
0.2000,298936.065916,1053.147208,10.520027,0.266812
0.2500,298922.876724,1064.111182,12.690197,0.321843
0.3000,298909.550163,1075.189357,14.882961,0.377445
0.3500,298896.084816,1086.382912,17.098552,0.433622
0.4000,298882.479249,1097.693036,19.337210,0.490381
0.4500,298868.732016,1109.120928,21.599174,0.547728
0.5000,298854.841654,1120.667803,23.884687,0.605669
0.5500,298840.806688,1132.334885,26.193994,0.664211
0.6000,298826.625624,1144.123412,28.527343,0.723358
0.6500,298812.296958,1156.034634,30.884984,0.783119
0.7000,298797.819167,1168.069813,33.267170,0.843499
0.7500,298783.190714,1180.230224,35.674156,0.904504
0.8000,298768.410047,1192.517157,38.106200,0.966142
0.8500,298753.475597,1204.931910,40.563564,1.028418
0.9000,298738.385779,1217.475800,43.046509,1.091340
0.9500,298723.138995,1230.150152,45.555304,1.154913
1.0000,298707.733629,1242.956307,48.090215,1.219146
1.0500,298692.168046,1255.895620,50.651515,1.284044
1.1000,298676.440600,1268.969457,53.239479,1.349615
1.1500,298660.549623,1282.179199,55.854383,1.415866
1.2000,298644.493435,1295.526243,58.496508,1.482803
1.2500,298628.270337,1309.011997,61.166135,1.550434
1.3000,298611.878611,1322.637883,63.863553,1.618766
1.3500,298595.316526,1336.405339,66.589048,1.687806
1.4000,298578.582329,1350.315816,69.342912,1.757562
1.4500,298561.674254,1364.370782,72.125441,1.828041
1.5000,298544.590514,1378.571715,74.936932,1.899250
1.5500,298527.329305,1392.920112,77.777686,1.971198
1.6000,298509.888805,1407.417483,80.648006,2.043892
1.6500,298492.267175,1422.065353,83.548200,2.117339
1.7000,298474.462556,1436.865263,86.478578,2.191548
1.7500,298456.473071,1451.818768,89.439453,2.266526
1.8000,298438.296823,1466.927441,92.431141,2.342282
1.8500,298419.931900,1482.192866,95.453963,2.418822
1.9000,298401.376366,1497.616648,98.508240,2.496157
1.9500,298382.628268,1513.200405,101.594300,2.574293
2.0000,298363.685635,1528.945771,104.712472,2.653239
2.0500,298344.546474,1544.854397,107.863089,2.733003
2.1000,298325.208773,1560.927950,111.046488,2.813595
2.1500,298305.670500,1577.168114,114.263008,2.895022
2.2000,298285.929603,1593.576588,117.512992,2.977293
2.2500,298265.984009,1610.155089,120.796788,3.060417
2.3000,298245.831626,1626.905353,124.114745,3.144403
2.3500,298225.470339,1643.829128,127.467219,3.229260
2.4000,298204.898014,1660.928184,130.854565,3.314997
2.4500,298184.112494,1678.204306,134.277145,3.401622
2.5000,298163.111603,1695.659298,137.735325,3.489145
2.5500,298141.893142,1713.294980,141.229472,3.577576
2.6000,298120.454890,1731.113191,144.759959,3.666923
2.6500,298098.794605,1749.115789,148.327162,3.757197
2.7000,298076.910021,1767.304647,151.931461,3.848406
2.7500,298054.798853,1785.681660,155.573239,3.940561
2.8000,298032.458790,1804.248739,159.252885,4.033671
2.8500,298009.887500,1823.007816,162.970790,4.127746
2.9000,297987.082629,1841.960839,166.727350,4.222797
2.9500,297964.041797,1861.109778,170.522964,4.318832
3.0000,297940.762604,1880.456620,174.358035,4.415863
3.0500,297917.242623,1900.003373,178.232972,4.513900
3.1000,297893.479406,1919.752063,182.148187,4.612952
3.1500,297869.470479,1939.704737,186.104095,4.713031
3.2000,297845.213345,1959.863461,190.101117,4.814148
3.2500,297820.705482,1980.230321,194.139678,4.916312
3.3000,297795.944344,2000.807426,198.220205,5.019535
3.3500,297770.927360,2021.596901,202.343133,5.123827
3.4000,297745.651932,2042.600894,206.508899,5.229201
3.4500,297720.115439,2063.821575,210.717945,5.335666
3.5000,297694.315234,2085.261133,214.970717,5.443234
3.5500,297668.248644,2106.921778,219.267667,5.551916
3.6000,297641.912968,2128.805743,223.609249,5.661724
3.6500,297615.305482,2150.915282,227.995924,5.772670
3.7000,297588.423434,2173.252670,232.428157,5.884765
3.7500,297561.264046,2195.820203,236.906418,5.998022
3.8000,297533.824510,2218.620203,241.431179,6.112451
3.8500,297506.101995,2241.655010,246.002921,6.228065
3.9000,297478.093641,2264.926988,250.622127,6.344877
3.9500,297449.796559,2288.438525,255.289285,6.462899
4.0000,297421.207834,2312.192030,260.004890,6.582142
4.0500,297392.324522,2336.189935,264.769440,6.702620
4.1000,297363.143650,2360.434698,269.583437,6.824346
4.1500,297333.662218,2384.928798,274.447392,6.947332
4.2000,297303.877195,2409.674737,279.361818,7.071591
4.2500,297273.785522,2434.675042,284.327232,7.197136
4.3000,297243.384112,2459.932266,289.344161,7.323981
4.3500,297212.669845,2485.448983,294.413132,7.452139
4.4000,297181.639574,2511.227792,299.534681,7.581623
4.4500,297150.290121,2537.271319,304.709347,7.712447
4.5000,297118.618277,2563.582213,309.937676,7.844624
4.5500,297086.620804,2590.163148,315.220218,7.978170
4.6000,297054.294430,2617.016823,320.557531,8.113097
4.6500,297021.635855,2644.145965,325.950176,8.249419
4.7000,296988.641746,2671.553323,331.398720,8.387152
4.7500,296955.308738,2699.241675,336.903736,8.526310
4.8000,296921.633435,2727.213823,342.465805,8.666906
4.8500,296887.612409,2755.472596,348.085509,8.808957
4.9000,296853.242197,2784.020851,353.763440,8.952476
4.9500,296818.519306,2812.861470,359.500194,9.097479
5.0000,296783.440209,2841.997363,365.296374,9.243982
5.0500,296748.001346,2871.431465,371.152587,9.391998
5.1000,296712.199122,2901.166741,377.069449,9.541545
5.1500,296676.029910,2931.206183,383.047579,9.692637
5.2000,296639.490047,2961.552810,389.087604,9.845291
5.2500,296602.575837,2992.209670,395.190157,9.999522
5.3000,296565.283549,3023.179839,401.355878,10.155346
5.3500,296527.609416,3054.466421,407.585411,10.312780
5.4000,296489.549638,3086.072549,413.879408,10.471840
5.4500,296451.100377,3118.001385,420.238529,10.632543
5.5000,296412.257760,3150.256121,426.663437,10.794906
5.5500,296373.017879,3182.839976,433.154804,10.958945
5.6000,296333.376787,3215.756202,439.713308,11.124678
5.6500,296293.330503,3249.008078,446.339633,11.292121
5.7000,296252.875008,3282.598914,453.034472,11.461293
5.7500,296212.006244,3316.532051,459.798523,11.632211
5.8000,296170.720119,3350.810860,466.632490,11.804892
5.8500,296129.012500,3385.438742,473.537086,11.979356
5.9000,296086.879217,3420.419130,480.513030,12.155618
5.9500,296044.316062,3455.755489,487.561048,12.333700
6.0000,296001.318787,3491.451312,494.681873,12.513617
6.0500,295957.883106,3527.510128,501.876246,12.695390
6.1000,295914.004694,3563.935495,509.144915,12.879037
6.1500,295869.679185,3600.731005,516.488634,13.064578
6.2000,295824.902174,3637.900281,523.908167,13.252030
6.2500,295779.669215,3675.446978,531.404284,13.441415
6.3000,295733.975823,3713.374786,538.977760,13.632751
6.3500,295687.817470,3751.687426,546.629383,13.826058
6.4000,295641.189588,3790.388654,554.359944,14.021357
6.4500,295594.087568,3829.482259,562.170245,14.218667
6.5000,295546.506758,3868.972063,570.061092,14.418009
6.5500,295498.442466,3908.861923,578.033304,14.619404
6.6000,295449.889954,3949.155729,586.087702,14.822871
6.6500,295400.844446,3989.857406,594.225121,15.028433
6.7000,295351.301118,4030.970915,602.446399,15.236110
6.7500,295301.255108,4072.500251,610.752386,15.445924
